Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
24511;19900193215;Accounting and the Public Interest;journal;15309320;0,150;Q4;14;3;17;265;13;17;0,55;88,33;-;0;2;United States;Northern America;American Accounting Association;2009-2024;Accounting (Q4);Business, Management and Accounting
24512;21101090011;Akademik Gida;journal;2148015X, 13047582;0,150;Q4;8;33;131;1397;68;131;0,44;42,33;-;0;2;Turkey;Middle East;Sidas Medya A.S.;2019-2024;Food Science (Q4);Agricultural and Biological Sciences
24513;21101091059;Ambulatornaya Khirurgiya;journal;27128741, 27822591;0,150;Q4;3;49;125;1675;35;117;0,30;34,18;-;0;11;Russian Federation;Eastern Europe;Remedium Group Ltd;2021-2024;"Anesthesiology and Pain Medicine (Q4); Cardiology and Cardiovascular Medicine (Q4); Gastroenterology (Q4); Surgery (Q4); Urology (Q4)";Medicine
24514;16800154755;Ancient Civilizations from Scythia to Siberia;journal;0929077X, 15700577;0,150;Q1;13;17;27;1220;8;27;0,12;71,76;-;0;1;Netherlands;Western Europe;Brill Academic Publishers;1995-2024;"Classics (Q1); History (Q2); Archeology (Q3); Archeology (arts and humanities) (Q3)";"Arts and Humanities; Social Sciences"
24515;20300195056;Ancient Near Eastern Studies;journal;13784641, 17831326;0,150;Q2;9;0;38;0;7;38;0,25;0,00;-;0;0;Belgium;Western Europe;Peeters Publishers;2011-2023;"Classics (Q2); History (Q2); Literature and Literary Theory (Q2); Visual Arts and Performing Arts (Q2); Archeology (Q3); Archeology (arts and humanities) (Q3)";"Arts and Humanities; Social Sciences"
24516;29996;Archivos Latinoamericanos de Nutricion;journal;00040622;0,150;Q4;39;21;160;804;46;156;0,23;38,29;-;0;14;Venezuela;Latin America;Archivos Latinoamericanos Nutricion;1971-2024;"Medicine (miscellaneous) (Q4); Nutrition and Dietetics (Q4)";"Medicine; Nursing"
24517;59860;Arquivos Brasileiros de Psicologia;journal;18095267, 01008692;0,150;Q4;12;0;28;0;14;27;0,00;0,00;-;0;0;Brazil;Latin America;Universidade Federal do Rio de Janeiro;1982, 2009-2021;Psychology (miscellaneous) (Q4);Psychology
24518;21101171884;Astragalo;journal;11343672, 24690503;0,150;Q2;2;19;98;363;14;91;0,10;19,11;-;0;6;Spain;Western Europe;Universidad de Sevilla;2019-2024;"History (Q2); Philosophy (Q2); Visual Arts and Performing Arts (Q2); Architecture (Q3); Urban Studies (Q3); Geography, Planning and Development (Q4)";"Arts and Humanities; Engineering; Social Sciences"
24519;21100927903;Atelie Geografico;journal;19821956;0,150;Q4;4;43;125;1374;19;125;0,18;31,95;-;0;22;Brazil;Latin America;Universidade Federal De Goias (UFG);2019-2024;"Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4); Tourism, Leisure and Hospitality Management (Q4); Urban Studies (Q4)";"Business, Management and Accounting; Environmental Science; Social Sciences"
24520;21101274718;AUT Journal of Electrical Engineering;journal;25882910, 25882929;0,150;Q4;3;35;81;1108;30;81;0,48;31,66;-;0;6;Iran;Middle East;Amirkabir University of Technology;2021-2024;"Biomedical Engineering (Q4); Computer Science (miscellaneous) (Q4); Control and Systems Engineering (Q4); Electrical and Electronic Engineering (Q4)";"Computer Science; Engineering"
24521;28125;Bahrain Medical Bulletin;journal;10128298;0,150;Q4;15;139;323;3870;120;311;0,34;27,84;-;0;52;Bahrain;Middle East;Bahrain Medical Bulletin;1990, 1995-2024;Medicine (miscellaneous) (Q4);Medicine
24522;19920;Berichte zur Wissenschaftsgeschichte;journal;15222365, 01706233;0,150;Q2;12;20;83;1250;45;69;0,48;62,50;-;0;1;Germany;Western Europe;Wiley-VCH Verlag;1978-2024;"History (Q2); History and Philosophy of Science (Q3)";Arts and Humanities
24523;21101184778;Brazilian Journal of Biometrics;journal;27645290;0,150;Q4;6;29;96;808;40;94;0,43;27,86;-;0;9;Brazil;Latin America;;2022-2024;"Agricultural and Biological Sciences (miscellaneous) (Q4); Applied Mathematics (Q4); Epidemiology (Q4); Public Health, Environmental and Occupational Health (Q4); Statistics and Probability (Q4)";"Agricultural and Biological Sciences; Mathematics; Medicine"
24524;21100870824;Capitale Culturale;journal;20392362;0,150;Q2;8;93;233;4180;36;218;0,14;44,95;-;0;25;Italy;Western Europe;eum - Edizioni Universita di Macerata;2018-2024;"History (Q2); Museology (Q2); Archeology (arts and humanities) (Q3); Arts and Humanities (miscellaneous) (Q3); Conservation (Q3); Tourism, Leisure and Hospitality Management (Q4)";"Arts and Humanities; Business, Management and Accounting"
24525;21100390113;Castilla Estudios de Literatura;journal;19897383;0,150;Q2;7;55;133;1182;20;133;0,15;21,49;-;0;2;Spain;Western Europe;Universidad de Valladolid;2013-2024;Literature and Literary Theory (Q2);Arts and Humanities
24526;12513;Chinese Journal of Industrial Hygiene and Occupational Diseases;journal;10019391;0,150;Q4;14;171;653;3016;205;652;0,31;17,64;-;0;54;China;Asiatic Region;Chinese Medical Journals Publishing House Co.Ltd;2002-2016, 2019-2025;Public Health, Environmental and Occupational Health (Q4);Medicine
24527;21101019773;Chinese Journal of Radiological Medicine and Protection;journal;02545098;0,150;Q4;7;110;335;2705;102;333;0,21;24,59;-;0;45;China;Asiatic Region;Chinese Medical Journals Publishing House Co.Ltd;2020-2022, 2024;"Radiological and Ultrasound Technology (Q4); Radiology, Nuclear Medicine and Imaging (Q4)";"Health Professions; Medicine"
24528;4700152719;Ciencia y Enfermeria;journal;07172079, 07179553;0,150;Q4;19;34;117;1159;50;110;0,38;34,09;-;0;12;Chile;Latin America;Universidad de Concepcion, Facultad de Medicina. Departamento de Enfermeria;2002, 2006-2024;Nursing (miscellaneous) (Q4);Nursing
24529;21100200638;Classical Receptions Journal;journal;17595142, 17595134;0,150;Q2;11;27;77;1537;28;76;0,38;56,93;-;0;2;United Kingdom;Western Europe;Oxford University Press;2011-2025;"Classics (Q2); Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
24530;5800173390;Current Signal Transduction Therapy;journal;2212389X, 15743624;0,150;Q4;22;18;70;1580;50;62;0,68;87,78;-;0;9;United Arab Emirates;Middle East;Bentham Science Publishers;2007-2024;"Endocrinology (Q4); Pharmacology (medical) (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
24531;16023;Dissent;journal;00123846;0,150;Q4;25;54;204;0;58;195;0,36;0,00;-;0;2;United States;Northern America;Foundation for the Study of Independent Social Ideas;1976-1977, 1979, 1981, 1983, 1986-1988, 1994, 1996-2025;"Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";Social Sciences
24532;21101095657;Economia, Sociedad y Territorio;journal;14058421, 24486183;0,150;Q4;6;35;102;1583;44;102;0,25;45,23;-;0;18;Mexico;Latin America;El Colegio Mexiquense AC;2019-2024;"Demography (Q4); Geography, Planning and Development (Q4); Social Sciences (miscellaneous) (Q4); Urban Studies (Q4)";Social Sciences
24533;21100207641;European Oncology and Haematology;journal;20455275, 20455283;0,150;Q4;9;17;56;774;14;52;0,21;45,53;-;0;15;United Kingdom;Western Europe;Touch Digital Media;2012-2024;"Hematology (Q4); Oncology (Q4)";Medicine
24534;5800228210;FinanzArchiv;journal;00152218, 16140974;0,150;Q4;22;16;40;731;19;39;0,52;45,69;-;1;8;Germany;Western Europe;JCB Mohr;1981, 2006-2024;Finance (Q4);Economics, Econometrics and Finance
24535;21101074774;Folia Amazonica;journal;24101184, 10185674;0,150;Q4;4;8;60;286;20;60;0,32;35,75;-;0;2;Peru;Latin America;Institute of Investigations of The Peruvian Amazon - IIAP;2019-2024;"Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Forestry (Q4); Plant Science (Q4)";"Agricultural and Biological Sciences; Environmental Science"
24536;21100790774;GaBI Journal;journal;20336403, 20336772;0,150;Q3;16;35;54;418;19;41;0,35;11,94;-;0;5;Belgium;Western Europe;Pro Pharma Communications International;2014-2024;"Drug Guides (Q3); Pharmacy (Q3)";"Health Professions; Medicine"
24537;34418;Geoadria;journal;13312294;0,150;Q4;6;0;27;0;19;26;0,47;0,00;-;0;0;Croatia;Eastern Europe;Croatian Geographical Society;1996, 1998, 2016-2023;"Atmospheric Science (Q4); Demography (Q4); Earth-Surface Processes (Q4); Geography, Planning and Development (Q4)";"Earth and Planetary Sciences; Social Sciences"
24538;5800215135;Historische Sprachforschung;journal;09353518;0,150;Q3;12;0;23;0;5;21;0,08;0,00;-;0;0;Germany;Western Europe;Vandenhoeck and Ruprecht GmbH and Co. KG;2002-2007, 2010-2011, 2014-2022;Linguistics and Language (Q3);Social Sciences
24539;88865;IEEE AFRICON Conference;conference and proceedings;21530033, 21530025;0,150;-;28;0;326;0;215;323;0,61;0,00;-;0;0;United States;Northern America;Institute of Electrical and Electronics Engineers Inc.;1992, 1996, 1999, 2002, 2004, 2007, 2009, 2011, 2013, 2015, 2019, 2021, 2023;"Computer Science Applications; Electrical and Electronic Engineering";"Computer Science; Engineering"
24540;21100793179;Indian Journal of Nematology;journal;09744444, 03036960;0,150;Q4;6;30;85;765;27;78;0,32;25,50;-;0;8;India;Asiatic Region;Nematological Society of India;2016-2024;"Agronomy and Crop Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)";Agricultural and Biological Sciences
24541;21101170037;Innere Medizin (Germany);journal;27317080, 27317099;0,150;Q4;22;152;627;3221;196;508;0,40;21,19;-;0;70;Germany;Western Europe;Springer Medizin;2022-2025;Internal Medicine (Q4);Medicine
24542;21101017883;International Conference on Higher Education Advances;conference and proceedings;26035871;0,150;-;6;162;503;2603;165;500;0,33;16,07;-;0;63;Spain;Western Europe;Universidad Politecnica de Valencia;2020-2024;Education;Social Sciences
24543;21100269617;International Conference on Space Science and Communication, IconSpace;conference and proceedings;21654301, 2165431X;0,150;-;12;0;62;0;27;58;0,00;0,00;-;0;0;United States;Northern America;IEEE Computer Society;2013, 2015, 2019, 2021;"Aerospace Engineering; Communication; Computer Networks and Communications; Electrical and Electronic Engineering";"Computer Science; Engineering; Social Sciences"
24544;4100151706;International Journal of Business Intelligence and Data Mining;journal;17438195, 17438187;0,150;Q4;24;45;142;1100;75;142;0,53;24,44;-;0;9;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2005-2025;"Information Systems and Management (Q4); Management Information Systems (Q4); Statistics, Probability and Uncertainty (Q4)";"Business, Management and Accounting; Decision Sciences"
24545;19700186883;International Journal of Reliability and Safety;journal;1479389X, 14793903;0,150;Q4;24;19;42;885;37;42;0,79;46,58;-;0;4;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2006-2025;Safety, Risk, Reliability and Quality (Q4);Engineering
24546;21100982280;International Workshop on System Level Interconnect Prediction, SLIP;conference and proceedings;15445631;0,150;-;11;0;16;0;10;14;0,50;0,00;-;0;0;United States;Northern America;Association for Computing Machinery;2004-2006, 2015, 2017, 2020-2022;"Applied Mathematics; Computer Science Applications; Electrical and Electronic Engineering; Hardware and Architecture";"Computer Science; Engineering; Mathematics"
24547;21101153192;Iranian South Medical Journal;journal;17354374, 17356954;0,150;Q3;5;30;83;1065;27;81;0,41;35,50;-;0;11;Iran;Middle East;;2019-2024;"Health Professions (miscellaneous) (Q3); Pharmacy (Q3); Medicine (miscellaneous) (Q4)";"Health Professions; Medicine"
24548;21101275446;Isidorianum;journal;26607743, 11317027;0,150;Q2;1;19;30;345;2;30;0,07;18,16;-;0;0;Spain;Western Europe;;2022-2024;"Philosophy (Q2); Religious Studies (Q2)";Arts and Humanities
24549;5800207754;Jazykovedny Casopis;journal;00215597, 13384287;0,150;Q3;6;7;161;322;37;161;0,26;46,00;-;0;0;Slovakia;Eastern Europe;De Gruyter Open Ltd.;2011-2024;Linguistics and Language (Q3);Social Sciences
24550;21101194302;Journal of Architectural/Planning Research and Studies;journal;27738868;0,150;Q3;4;24;58;910;18;58;0,35;37,92;-;0;16;Thailand;Asiatic Region;Faculty of Architecture and Planning Thammasat University;2019-2025;"Architecture (Q3); Geography, Planning and Development (Q4)";"Engineering; Social Sciences"
24551;21101215783;Journal of Bodies, Sexualities, and Masculinities;journal;26888149, 26888157;0,150;Q2;4;6;35;234;15;30;0,38;39,00;-;0;2;United Kingdom;Western Europe;Berghahn Journals;2020-2024;"Cultural Studies (Q2); Gender Studies (Q3)";Social Sciences
24552;21100926810;Journal of Chemistry and Technologies;journal;26632934, 26632942;0,150;Q4;7;111;238;4083;137;238;0,60;36,78;-;0;27;Ukraine;Eastern Europe;Oles Honchar Dnipro National University;2018-2024;"Chemical Engineering (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4)";"Chemical Engineering; Chemistry"
24553;21101210875;Journal of Clinical Otorhinolaryngology Head and Neck Surgery;journal;20967993;0,150;Q4;13;226;643;3980;169;642;0,21;17,61;-;0;48;China;Asiatic Region;;2017, 2019-2025;"Otorhinolaryngology (Q4); Surgery (Q4)";Medicine
24554;21101180701;Journal of Corporate Finance Research;journal;20730438;0,150;Q4;5;31;88;1512;54;88;0,70;48,77;-;0;17;Russian Federation;Eastern Europe;National Research University, Higher School of Econoimics;2020-2024;"Economics and Econometrics (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Finance (Q4)";Economics, Econometrics and Finance
24555;21101021413;Journal of Cuneiform Studies;journal;00220256, 23256737;0,150;Q2;4;7;34;233;15;34;0,38;33,29;-;0;0;United States;Northern America;University of Chicago Press;2020-2024;"History (Q2); Anthropology (Q3); Archeology (Q3); Archeology (arts and humanities) (Q3); Linguistics and Language (Q3)";"Arts and Humanities; Social Sciences"
24556;5900152897;Journal of Design Research;journal;17483050, 15691551;0,150;Q4;25;5;41;369;22;41;0,46;73,80;-;0;1;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2006-2024;"Computer Graphics and Computer-Aided Design (Q4); Engineering (miscellaneous) (Q4)";"Computer Science; Engineering"
24557;21100305268;Journal of Educational Multimedia and Hypermedia;journal;19435916, 10558896;0,150;Q4;13;0;30;0;13;30;0,14;0,00;-;0;0;United States;Northern America;Association for the Advancement of Computing in Education;2013-2023;"Computer Science Applications (Q4); Education (Q4)";"Computer Science; Social Sciences"
24558;21100834985;Journal of Nationalism Memory and Language Politics;journal;25705857;0,150;Q2;10;8;37;402;17;36;0,60;50,25;-;0;2;Germany;Western Europe;;2017-2025;"Cultural Studies (Q2); History (Q2); Linguistics and Language (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
24559;21100792112;Journal of Pediatric and Neonatal Individualized Medicine;journal;22810692;0,150;Q4;12;15;137;437;47;133;0,42;29,13;-;0;6;Italy;Western Europe;Hygeia Press di Corridori Marinella;2016-2025;Pediatrics, Perinatology and Child Health (Q4);Medicine
24560;21101199357;Journal of Renewable Energies;journal;11122242, 27168247;0,150;Q4;4;74;105;1887;59;104;0,61;25,50;-;0;67;Algeria;Africa;Algerian Centre for the Development of Renewable Energy;2019-2024;"Electrical and Electronic Engineering (Q4); Energy Engineering and Power Technology (Q4); Energy (miscellaneous) (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Energy; Engineering"
24561;21100943604;Journal of Siberian Federal University: Chemistry;journal;23136049, 19982836;0,150;Q4;7;46;153;979;66;138;0,38;21,28;-;0;5;Russian Federation;Eastern Europe;Siberian Federal University;2019-2024;"Chemical Engineering (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4)";"Chemical Engineering; Chemistry"
24562;22763;Journal of the American Oriental Society;journal;00030279;0,150;Q2;24;61;378;2501;57;378;0,11;41,00;-;0;3;United States;Northern America;Lockwood Press;1971, 1973, 1979, 1982, 1986, 1988, 1998, 2002-2008, 2010-2024;"Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
24563;66835;Journal of the Korean Medical Association;journal;20935951, 19758456;0,150;Q4;22;98;300;2963;99;296;0,40;30,23;-;0;48;South Korea;Asiatic Region;Korean Medical Association;2008-2025;Medicine (miscellaneous) (Q4);Medicine
24564;19900193611;Malaysian Journal of Microbiology;journal;22317538, 18238262;0,150;Q4;23;144;229;5286;108;229;0,45;36,71;-;0;52;Malaysia;Asiatic Region;Universiti Sains Malaysia;2010-2024;"Applied Microbiology and Biotechnology (Q4); Infectious Diseases (Q4); Microbiology (Q4); Microbiology (medical) (Q4)";"Immunology and Microbiology; Medicine"
24565;21101211362;Mercados y Negocios;journal;16657039, 25940163;0,150;Q4;3;22;49;968;36;35;0,53;44,00;-;0;9;Mexico;Latin America;Universidad de Guadalajara;2020-2025;"Business, Management and Accounting (miscellaneous) (Q4); Marketing (Q4)";Business, Management and Accounting
24566;21101041554;Messenger of Anesthesiology and Resuscitation;journal;20785658, 25418653;0,150;Q4;8;83;208;2558;101;207;0,47;30,82;-;0;28;Russian Federation;Eastern Europe;New Terra Publishing House;2019-2024;"Anesthesiology and Pain Medicine (Q4); Critical Care and Intensive Care Medicine (Q4); Emergency Medicine (Q4)";Medicine
24567;21100840040;Methods of Functional Analysis and Topology;journal;24157503, 10293531;0,150;Q4;7;0;75;0;25;75;0,30;0,00;-;0;0;Ukraine;Eastern Europe;Institute of Mathematics NAS of Ukraine;2017-2023;"Analysis (Q4); Geometry and Topology (Q4); Mathematical Physics (Q4)";Mathematics
24568;21101197191;Military Operations Research (United States);journal;10825983, 21632758;0,150;Q4;4;12;51;425;19;47;0,34;35,42;-;0;2;United States;Northern America;Military Operations Research Society;2020-2024;"Political Science and International Relations (Q4); Safety Research (Q4); Sociology and Political Science (Q4)";Social Sciences
24569;21101044942;Minerva Biotechnology and Biomolecular Research;journal;27245934, 2724542X;0,150;Q4;22;28;78;1132;37;71;0,57;40,43;-;0;14;Italy;Western Europe;Edizioni Minerva Medica S.p.A.;2021-2024;"Applied Microbiology and Biotechnology (Q4); Bioengineering (Q4); Biotechnology (Q4); Molecular Biology (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology"
24570;21101220432;Miscellanea Hadriatica et Mediterranea;journal;18490670, 27181170;0,150;Q2;2;0;19;0;4;16;0,17;0,00;-;0;0;Croatia;Eastern Europe;University of Zadar;2020-2023;"Religious Studies (Q2); Anthropology (Q3); Archeology (arts and humanities) (Q3); Linguistics and Language (Q3)";"Arts and Humanities; Social Sciences"
24571;21100239243;Modern Food Science and Technology;journal;16739078;0,150;Q4;14;486;1436;17548;776;1436;0,52;36,11;-;0;46;China;Asiatic Region;Gai Kan Bianjibu;2013-2024;Food Science (Q4);Agricultural and Biological Sciences
24572;21101058816;Nanobiotechnology Reports;journal;26351684, 26351676;0,150;Q4;29;101;359;3739;159;352;0,40;37,02;-;0;11;United States;Northern America;Pleiades Publishing;2021-2024;"Bioengineering (Q4); Biomedical Engineering (Q4); Condensed Matter Physics (Q4); Electrical and Electronic Engineering (Q4); Engineering (miscellaneous) (Q4); Materials Science (miscellaneous) (Q4)";"Chemical Engineering; Engineering; Materials Science; Physics and Astronomy"
24573;17992;Neurophysiology;journal;15739007, 00902977;0,150;Q4;20;0;39;0;16;35;0,30;0,00;-;0;0;United States;Northern America;Springer New York;1969-2022;"Neuroscience (miscellaneous) (Q4); Physiology (Q4)";"Biochemistry, Genetics and Molecular Biology; Neuroscience"
24574;21101081512;Paediatric Surgery (Ukraine);journal;25211358, 23040041;0,150;Q4;3;44;158;866;30;158;0,27;19,68;-;0;4;Ukraine;Eastern Europe;Group of Companies Med Expert, LLC;2019-2024;"Pediatrics, Perinatology and Child Health (Q4); Surgery (Q4)";Medicine
24575;15655;Paediatrica Indonesiana;journal;00309311;0,150;Q4;5;75;190;1785;54;187;0,20;23,80;-;0;35;Indonesia;Asiatic Region;Indonesian Society of Pediatrician;1964-1991, 2019-2024;Pediatrics, Perinatology and Child Health (Q4);Medicine
24576;21101172912;Proceedings of the International Conference on Virtual Learning;conference and proceedings;18448933, 29719291;0,150;-;5;34;78;582;20;75;0,34;17,12;-;0;12;Romania;Eastern Europe;National Institute for R and D in Informatics;2019-2023;"Artificial Intelligence; Computer Science Applications; Computer Vision and Pattern Recognition; Human-Computer Interaction";Computer Science
24577;21100198212;Psicologia Clinica dello Sviluppo;journal;1824078X;0,150;Q4;15;33;123;1117;26;116;0,26;33,85;-;0;3;Italy;Western Europe;Il Mulino publishing house;1998-2024;"Clinical Psychology (Q4); Developmental and Educational Psychology (Q4)";Psychology
24578;12300154705;Research Journal of Biotechnology;journal;22784535, 09736263;0,150;Q4;24;240;841;8899;330;841;0,46;37,08;-;0;116;India;Asiatic Region;World Researchers Associations;2008-2025;"Applied Microbiology and Biotechnology (Q4); Bioengineering (Q4); Biotechnology (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology"
24579;5300152224;Research Journal of Chemistry and Environment;journal;22784527, 09720626;0,150;Q4;25;166;792;5698;332;792;0,55;34,33;-;0;74;India;Asiatic Region;World Researchers Associations;2007-2025;"Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry (Q4); Chemical Engineering (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Earth and Planetary Sciences (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Earth and Planetary Sciences; Energy; Environmental Science"
24580;21101215786;Revista de Derecho (Chile);journal;07161883, 07186851;0,150;Q3;3;12;37;522;7;33;0,18;43,50;-;1;2;Chile;Latin America;Pontificia Universidad Catolica de Valparaiso;2020-2024;"Law (Q3); Social Sciences (miscellaneous) (Q4)";Social Sciences
24581;19600157363;Rossiiskaia Istoria;journal;08695687;0,150;Q2;5;0;112;0;9;76;0,00;0,00;-;0;0;Russian Federation;Eastern Europe;Russian Academy of Sciences;1999, 2001-2002, 2009-2021;"History (Q2); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
24582;22246;Rozhledy v Chirurgii;journal;18054579, 00359351;0,150;Q4;14;90;182;0;71;182;0,39;0,00;-;0;37;Czech Republic;Eastern Europe;Czech Medical Association J.E. Purkyne;1950-1952, 1954-2024;Medicine (miscellaneous) (Q4);Medicine
24583;19700167103;Slavia;journal;00376736;0,150;Q2;5;32;108;533;7;87;0,09;16,66;-;0;0;Czech Republic;Eastern Europe;Academy of Sciences of the Czech Republic;2002, 2009-2024;"Literature and Literary Theory (Q2); Linguistics and Language (Q3)";"Arts and Humanities; Social Sciences"
24584;21101067745;Sport i Turystyka;journal;26574322, 25453211;0,150;Q2;5;32;100;1165;40;97;0,51;36,41;-;0;9;Poland;Eastern Europe;Jan Dlugosz University Publishing House;2018-2024;"History (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q4); Tourism, Leisure and Hospitality Management (Q4)";"Arts and Humanities; Business, Management and Accounting; Health Professions"
24585;21101054326;Studies in Big Data;book series;21976511, 21976503;0,150;Q4;39;358;924;16390;996;57;1,09;45,78;-;0;141;Germany;Western Europe;Springer Science and Business Media Deutschland GmbH;2014-2025;"Artificial Intelligence (Q4); Computer Science Applications (Q4); Control and Systems Engineering (Q4); Engineering (miscellaneous) (Q4)";"Computer Science; Engineering"
24586;17633;Studies in Eighteenth Century Culture;journal;03602370;0,150;Q2;12;22;83;1140;15;78;0,18;51,82;-;0;0;United States;Northern America;Johns Hopkins University Press;1976, 1978-1979, 1981, 1984-1985, 1987, 1999, 2001-2025;"Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
24587;19700175006;Thai Journal of Pharmaceutical Sciences;journal;30277922, 19054637;0,150;Q4;17;26;199;918;97;199;0,44;35,31;-;0;10;Thailand;Asiatic Region;Faculty of Pharmaceutical Sciences, Chulalongkorn University;2009-2024;"Pharmaceutical Science (Q4); Pharmacology (Q4)";Pharmacology, Toxicology and Pharmaceutics
24588;20824;Vnitrni Lekarstvi;journal;0042773X, 18017592;0,150;Q4;20;106;392;2556;115;351;0,30;24,11;-;0;57;Czech Republic;Eastern Europe;SOLEN s.r.o.;1955, 1961-2024;"Cardiology and Cardiovascular Medicine (Q4); Internal Medicine (Q4)";Medicine
