Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
24501;21100934646;Revista Portuguesa de Filosofia;journal;2183461X, 08705283;0,151;Q2;5;61;200;2203;26;190;0,12;36,11;-;0;3;Portugal;Western Europe;Aletheia - Associacao Cientifica e Cultural;2019-2024;Philosophy (Q2);Arts and Humanities
24502;21101168861;Sarkomy Kostej, Magkih Tkanej i Opuholi Kozi;journal;22194614, 27823687;0,151;Q4;3;34;69;1043;15;64;0,24;30,68;-;0;21;Russian Federation;Eastern Europe;ABV-press Publishing House;2019-2024;"Oncology (Q4); Orthopedics and Sports Medicine (Q4); Pathology and Forensic Medicine (Q4); Radiology, Nuclear Medicine and Imaging (Q4)";Medicine
24503;21100967513;SPAFA Journal;journal;08581975, 25868721;0,151;Q2;4;9;26;305;14;26;0,27;33,89;-;0;5;Thailand;Asiatic Region;Southeast Asian Ministers of Education Organization Regional Centre for Archaeology and Fine Arts (SEAMEO SPAFA);2019-2025;"Visual Arts and Performing Arts (Q2); Archeology (Q3); Archeology (arts and humanities) (Q3); Conservation (Q3)";"Arts and Humanities; Social Sciences"
24504;6500153191;Studies in Travel Writing;journal;13645145;0,151;Q2;12;12;54;780;19;50;0,30;65,00;-;0;1;United Kingdom;Western Europe;Taylor and Francis Ltd.;1997-2025;Literature and Literary Theory (Q2);Arts and Humanities
24505;21101239982;Travma;journal;16081706, 23071397;0,151;Q4;3;22;126;505;23;126;0,18;22,95;-;0;4;Ukraine;Eastern Europe;Zaslavsky Publishing House;2020-2024;Orthopedics and Sports Medicine (Q4);Medicine
24506;31440;Turk hijiyen ve deneysel biyoloji dergisi. Turkish bulletin of hygiene and experimental biology;journal;13082523, 03779777;0,151;Q4;9;43;176;1523;47;176;0,28;35,42;-;0;26;Turkey;Middle East;National Public Health Institution of Turkey;1964-1978, 2012-2024;"Infectious Diseases (Q4); Microbiology (medical) (Q4); Public Health, Environmental and Occupational Health (Q4)";Medicine
24507;21101246928;Udayana Journal of Law and Culture;journal;25490680;0,151;Q2;3;11;35;536;14;35;0,42;48,73;-;0;9;Indonesia;Asiatic Region;Udayana University;2020-2025;"Cultural Studies (Q2); Gender Studies (Q3); Law (Q3); Social Sciences (miscellaneous) (Q4)";Social Sciences
24508;18324;Vestnik Rossiiskoi Akademii Meditsinskikh Nauk;journal;08696047, 24143545;0,151;Q4;21;45;139;1698;90;138;0,40;37,73;-;0;22;Russian Federation;Eastern Europe;Publishing House of the Union of Pediatricians;1992-2024;Medicine (miscellaneous) (Q4);Medicine
24509;21101133410;Vestnik Urologii/Urology Herald;journal;23086424;0,151;Q4;7;87;225;2127;86;223;0,39;24,45;-;0;34;Russian Federation;Eastern Europe;Rostovskii Gosudarstvennyi Meditsinskii Universitet;2019-2024;Urology (Q4);Medicine
24510;14500154707;Zhongguo gu shang = China journal of orthopaedics and traumatology;journal;10030034;0,151;Q4;11;209;609;0;202;609;0,33;0,00;-;0;24;China;Asiatic Region;Zhongguo gu Shang;2008-2025;Medicine (miscellaneous) (Q4);Medicine
